dataset,variable,slope,intercept,mann_kendall_p,significant,start_year,end_year,n_points,trend_per_decade
itf,itf_g,0.07929253822227453,-151.31548531425886,0.012282742685984838,True,1984.0,2017.914442162902,408,0.7929253822227453
itf,itf_t,0.023517268402112736,-34.03945033744615,0.3735361264314734,False,1984.0,2017.914442162902,408,0.23517268402112737
itf,itf_s,0.028453677027548367,-55.15778727800987,0.007303296899748624,True,1984.0,2017.914442162902,408,0.2845367702754837
agulhas,aghulas_box,0.021141821542715374,-122.17284703263996,0.8759124957639435,False,1992.6680355920603,2014.914442162902,268,0.21141821542715375
agulhas,aghulas_jet,0.2294747818439204,-548.8017619632492,0.13552669584705335,False,1992.6680355920603,2014.914442162902,268,2.294747818439204
amoc,amoc,-0.1610030325146269,338.206269455903,0.0,True,1993.0,2023.914442162902,372,-1.6100303251462689
