time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet
1992.6666666666667,14.081617846125784,10.640698165313308,3.844191373912194,-101.229126,-92.684074
1992.7486338797814,6.328405246075318,3.6698077952903807,2.1218439724041502,-99.01147,-87.42982
1992.8333333333333,4.6062564039602165,1.3921146870755927,2.069197781890471,-94.20207,-95.68864
1992.9153005464482,5.734001280232635,4.10999403274961,0.5877139386344673,-98.39744,-112.91475
1993.0,8.70191162253398,9.208506068798169,-0.8880670538302882,-95.15113,-99.21202
1993.0849315068492,5.065709570789058,6.689695597515668,-1.5039141856647564,-98.24733,-75.14654
1993.1616438356164,3.360917250608745,3.382448166868416,2.0452873686941557,-116.401344,-95.25818
1993.2465753424658,0.6222821716637181,-2.9516144800215462,3.9485224879374448,-83.37234,-90.05884
1993.3287671232877,0.4735955648939941,-0.6530592160851869,2.0486734678988805,-72.50575,-90.67418
1993.4136986301369,9.847224303636278,8.57425476138564,2.453787162774829,-73.421486,-100.50233
1993.495890410959,11.577108126509518,9.954304221618829,1.7193468785595516,-65.63378,-80.93331
1993.5808219178082,9.687462343495929,6.971481274065079,1.89712495228676,-84.20428,-85.44115
1993.6657534246576,12.175505504998537,8.751902848717709,3.001282875508226,-110.88661,-121.979675
1993.7479452054795,5.170201377359764,1.7413523090371692,3.070614752210537,-88.84582,-105.354965
1993.8328767123287,3.453698753060792,-0.3643405952192784,3.171064220296318,-125.40701,-136.16325
1993.9150684931508,5.089164943570927,3.1903025520590647,1.4855030870475456,-131.44928,-95.80452
1994.0,8.621800969671838,9.32939839000558,-0.8045432011799096,-89.27477,-94.90004
1994.0849315068492,5.531863920788132,7.938100829755089,-1.2565988268135695,-93.91493,-112.64425
1994.1616438356164,3.997679135687808,5.511610240434791,1.5149914081547524,-86.61241,-98.795555
1994.2465753424658,1.3326880406667612,0.1864747527394345,3.602256632807878,-75.16645,-88.19993
1994.3287671232877,2.004256081205458,3.0621223461332514,1.6976723666298936,-94.267265,-111.748245
1994.4136986301369,10.995826265568937,12.456207530096956,1.5241477295743724,-83.10849,-102.9885
1994.495890410959,11.396147430601324,13.74253130747246,1.3827437701577057,-82.56902,-103.25703
1994.5808219178082,9.579069891127482,10.159567269922716,2.0182302335647746,-74.18226,-97.449425
1994.6657534246576,11.13684231498643,10.556018749647537,3.056617226569947,-100.587616,-106.420715
1994.7479452054795,2.040711451890976,2.646775019011504,2.1273091103203434,-116.63139,-101.34439
1994.8328767123287,-2.34918773596409,-0.654922448341964,1.988109558564073,-74.89927,-84.5959
1994.9150684931508,-0.9009121070346776,0.9688097066230092,0.4601265903936617,-97.003136,-112.40705
1995.0,0.7701170666493755,5.654592788773661,-1.9686805480961111,-89.26303,-110.47787
1995.0849315068492,-1.6004410847787012,3.311856229794579,-2.7041337730433987,-105.13566,-125.517685
1995.1616438356164,-2.5987521191689558,0.3364360989953286,0.7109306440796648,-100.80722,-112.57607
1995.2465753424658,-5.123605170467112,-5.352635727603206,3.5532150468510117,-84.26881,-92.24596
1995.3287671232877,-3.209771951984049,-2.0045893559589025,2.2511493015475583,-101.76054,-108.99817
1995.4136986301369,8.072558384713304,8.679834320095782,1.4162789016090789,-74.17805,-80.09019
1995.495890410959,10.748632114629936,11.139797921957316,1.4272406272406504,-76.37519,-88.20147
1995.5808219178082,9.257716719747304,8.885316405205167,2.280654052522698,-89.552,-95.49428
1995.6657534246576,12.48150275646406,10.839094228857997,2.7086789110811744,-71.8498,-76.228065
1995.7479452054795,4.431895315254332,3.882608583336785,1.543735227236296,-67.19648,-78.18937
1995.8328767123287,1.2938709068757013,1.326222416673451,2.0724305626721757,-86.96374,-98.10095
