,count,mean,median,std,min,max,range,q25,q75,iqr,mad,trimmed_mean_10,trimmed_mean_20,skewness,kurtosis,cv,p01,p05,p10,p90,p95,p99,min_value,min_date,max_value,max_date
itf_g,408,5.995586890759876,5.95790007279094,6.0343284283554555,-9.657078975411428,22.32970670372635,31.986785679137782,1.921075367272162,10.022615461754977,8.101540094482814,4.060342254775505,5.940692761576282,5.949089679989248,0.10234538252730811,-0.21605540474667784,1.0064616756126554,-7.231935232310807,-3.968385394931289,-2.1002974270358754,13.745816296574016,16.065996089916293,19.983369447020877,-9.657078975411428,2010-04-01 00:00:00,22.32970670372635,2001-09-01 00:00:00
itf_t,408,5.507713993248668,5.627119269345768,5.1090708748573554,-6.976946161683024,20.546644620073085,27.52359078175611,1.6781874771796046,9.457293584284923,7.779106107105318,3.9039182272575266,5.613939030850657,5.71096049521071,-0.12402952977098429,-0.5148307661628664,0.9276209478415242,-5.917011215899546,-3.02256402421889,-1.2941455430242506,11.441127939963451,13.02688763245554,16.235185840792795,-6.976946161683024,1992-04-01 00:00:00,20.546644620073085,2000-07-01 00:00:00
itf_s,408,1.665693524122245,2.0087097159442844,1.9659221589963,-4.774934322328968,5.871804552772646,10.646738875101615,0.4598843259648481,3.0058495406393977,2.5459652146745495,1.3173181192484076,1.7814088091735891,1.878502901385039,-0.5691502564315111,-0.10100587404148298,1.1802424218658494,-3.042159036375849,-1.9581120796316402,-1.252174524539621,3.9998758939081713,4.476254173137933,5.263170167783422,-4.774934322328968,2007-03-01 00:00:00,5.871804552772646,2008-08-01 00:00:00
