,count,mean,median,std,min,max,range,q25,q75,iqr,mad,trimmed_mean_10,trimmed_mean_20,skewness,kurtosis,cv,p01,p05,p10,p90,p95,p99,min_value,min_date,max_value,max_date
aghulas_box,268,-85.96855703358209,-86.240915,18.544720835433324,-140.65039,-14.799936,125.85045399999998,-98.21421000000001,-73.40606700000001,24.808143,12.106575,-85.9524652962963,-86.08701309259258,0.12221464478561926,0.8777361937184858,-0.21571515767316135,-131.74528999999998,-116.38995535,-107.250267,-63.705694199999996,-57.30566825,-37.46079475000002,-140.65039,1997-01-01 00:00:00,-14.799936,2011-09-01 00:00:00
aghulas_jet,268,-95.07914611567163,-93.730518,15.249538130800323,-148.20348,-44.325283,103.87819700000001,-104.56770875,-85.0860475,19.481661249999988,9.609968000000002,-94.45894285185184,-93.9823927654321,-0.4012247929610174,0.7597593997333001,-0.16038783217771013,-135.2882836,-121.3916645,-115.36639699999999,-78.332121,-73.94054300000005,-62.339034180000056,-148.20348,2009-03-01 00:00:00,-44.325283,2008-07-01 00:00:00
