time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet,amoc
1993-01-01,8.70191162253398,9.208506068798169,-0.8880670538302882,-95.15113,-99.21202,21.043627
1993-02-01,5.065709570789058,6.689695597515668,-1.5039141856647564,-98.24733,-75.14654,16.834034
1993-03-01,3.360917250608745,3.382448166868416,2.0452873686941557,-116.401344,-95.25818,16.281631
1993-04-01,0.6222821716637181,-2.9516144800215462,3.9485224879374448,-83.37234,-90.05884,18.194887
1993-05-01,0.4735955648939941,-0.6530592160851869,2.0486734678988805,-72.50575,-90.67418,15.816739
1993-06-01,9.847224303636278,8.57425476138564,2.453787162774829,-73.421486,-100.50233,16.026243
1993-07-01,11.577108126509518,9.954304221618829,1.7193468785595516,-65.63378,-80.93331,19.957752
1993-08-01,9.687462343495929,6.971481274065079,1.89712495228676,-84.20428,-85.44115,20.920362
1993-09-01,12.175505504998537,8.751902848717709,3.001282875508226,-110.88661,-121.979675,21.675552
1993-10-01,5.170201377359764,1.7413523090371692,3.070614752210537,-88.84582,-105.354965,21.996647
1993-11-01,3.453698753060792,-0.3643405952192784,3.171064220296318,-125.40701,-136.16325,25.676914
1993-12-01,5.089164943570927,3.1903025520590647,1.4855030870475456,-131.44928,-95.80452,21.973839
1994-01-01,8.621800969671838,9.32939839000558,-0.8045432011799096,-89.27477,-94.90004,25.497313
1994-02-01,5.531863920788132,7.938100829755089,-1.2565988268135695,-93.91493,-112.64425,23.844463
1994-03-01,3.997679135687808,5.511610240434791,1.5149914081547524,-86.61241,-98.795555,19.381218
1994-04-01,1.3326880406667612,0.1864747527394345,3.602256632807878,-75.16645,-88.19993,21.737833
1994-05-01,2.004256081205458,3.0621223461332514,1.6976723666298936,-94.267265,-111.748245,19.179056
1994-06-01,10.995826265568937,12.456207530096956,1.5241477295743724,-83.10849,-102.9885,18.657625
1994-07-01,11.396147430601324,13.74253130747246,1.3827437701577057,-82.56902,-103.25703,20.25539
1994-08-01,9.579069891127482,10.159567269922716,2.0182302335647746,-74.18226,-97.449425,20.912786
1994-09-01,11.13684231498643,10.556018749647537,3.056617226569947,-100.587616,-106.420715,20.273987
1994-10-01,2.040711451890976,2.646775019011504,2.1273091103203434,-116.63139,-101.34439,17.881933
1994-11-01,-2.34918773596409,-0.654922448341964,1.988109558564073,-74.89927,-84.5959,20.133799
1994-12-01,-0.9009121070346776,0.9688097066230092,0.4601265903936617,-97.003136,-112.40705,18.885138
1995-01-01,0.7701170666493755,5.654592788773661,-1.9686805480961111,-89.26303,-110.47787,20.966705
1995-02-01,-1.6004410847787012,3.311856229794579,-2.7041337730433987,-105.13566,-125.517685,23.358406
1995-03-01,-2.5987521191689558,0.3364360989953286,0.7109306440796648,-100.80722,-112.57607,20.203892
1995-04-01,-5.123605170467112,-5.352635727603206,3.5532150468510117,-84.26881,-92.24596,17.137325
1995-05-01,-3.209771951984049,-2.0045893559589025,2.2511493015475583,-101.76054,-108.99817,14.886017
1995-06-01,8.072558384713304,8.679834320095782,1.4162789016090789,-74.17805,-80.09019,19.10671
1995-07-01,10.748632114629936,11.139797921957316,1.4272406272406504,-76.37519,-88.20147,21.254074
1995-08-01,9.257716719747304,8.885316405205167,2.280654052522698,-89.552,-95.49428,20.736979
1995-09-01,12.48150275646406,10.839094228857997,2.7086789110811744,-71.8498,-76.228065,22.120302
1995-10-01,4.431895315254332,3.882608583336785,1.543735227236296,-67.19648,-78.18937,25.938114
1995-11-01,1.2938709068757013,1.326222416673451,2.0724305626721757,-86.96374,-98.10095,22.537865
1995-12-01,1.676429693976622,3.460993937080196,-0.8453749970220797,-97.891815,-109.69356,17.449701
1996-01-01,3.4000819941110936,8.042329508556904,-2.3322836650563845,-79.72938,-86.65328,19.34929
1996-02-01,-0.1100230431941149,5.162208232841039,-2.4874359915762465,-108.47072,-107.68011,21.666857
1996-03-01,-2.076762700210905,1.7989643501129144,0.3619812056828919,-112.12333,-87.00919,20.520084
1996-04-01,-4.2070395509428185,-4.294493240013205,3.629252873945557,-84.79424,-95.05943,20.643435
1996-05-01,-3.645214603686585,-1.598789994236146,1.4421108765283583,-74.51635,-77.56519,20.613766
1996-06-01,5.426907242756648,8.560490021727315,0.2305262892777516,-66.558975,-85.55169,22.551714
1996-07-01,6.810944535439934,11.191851511107483,0.2841556633316122,-60.049347,-81.624794,23.195688
1996-08-01,6.835520901676871,8.948969802591293,1.0830790223154385,-74.39794,-84.71865,22.776722
1996-09-01,11.571677988096509,11.4649405600935,3.615348632358692,-71.41519,-88.518745,21.733974
1996-10-01,4.292834140633833,4.903493835284946,2.06427016543112,-57.30329,-76.418755,22.480078
1996-11-01,2.9422185527764886,2.8482726231503723,2.289915738827898,-103.62198,-100.91594,23.056374
1996-12-01,4.057608149238068,5.935083670927563,-0.0431435359393506,-101.45764,-84.42018,16.40652
1997-01-01,6.971763250716313,10.84543682722438,-2.403971419555725,-140.65039,-147.3218,18.65525
1997-02-01,3.4994254276472327,8.022570003125205,-1.5713936835100086,-61.993114,-82.169106,23.64677
1997-03-01,1.1328904437283542,3.940715246762818,0.9248548103934242,-72.52459,-95.57726,19.089394
1997-04-01,-2.40721827324605,-3.0521920540476377,3.7330531948730927,-93.93529,-107.95359,13.120856
1997-05-01,-2.577335468385491,-0.9720393696247795,2.2572243190552883,-100.61508,-107.272896,20.488665
1997-06-01,6.74930880870966,8.112502346988398,2.2107610122877994,-85.83358,-106.73769,17.987738
1997-07-01,7.476020620550795,9.40168914458394,2.333355608223889,-82.40402,-92.778595,20.907707
1997-08-01,5.095222523375774,6.124696704762989,3.376878036911456,-68.90319,-70.377754,24.390738
1997-09-01,8.55465946733209,7.156335069759022,5.510094247928766,-71.77852,-82.4696,21.268951
1997-10-01,1.1389720449964311,0.6248284693049968,4.561341004592061,-77.715485,-100.26954,19.256933
1997-11-01,-1.1716773907699716,-1.178736797500169,4.3282040942496245,-82.4659,-101.344734,21.359602
1997-12-01,0.3259420240172391,1.48000872771708,3.327610357078375,-64.23615,-88.54199,17.803974
1998-01-01,3.4641695552513925,6.776514404279171,1.622092874778258,-78.792496,-97.0679,19.984095
1998-02-01,0.3313101425735353,4.433181809563026,-1.0580544030569898,-89.40855,-102.91006,13.626111
1998-03-01,-2.729645922055096,0.9922591744202742,1.109702693909132,-97.37786,-114.38055,22.131119
1998-04-01,-7.7381284817145985,-5.821908325182111,4.456395816446284,-79.36313,-73.29116,21.467676
1998-05-01,-8.258349673645672,-4.091307809362261,1.9980696062216612,-82.928474,-105.077805,16.643778
1998-06-01,1.5962868413908935,4.781548235822155,2.770919853340173,-93.133766,-121.48089,20.296526
1998-07-01,1.9745056552770608,5.895750144313796,1.481463784196302,-82.24096,-97.24601,24.143167
1998-08-01,0.6844272960766592,2.893640537691675,1.7178309941855183,-76.00239,-80.54981,25.444633
1998-09-01,5.179147490331757,5.048665594810989,4.253391237505594,-72.51737,-92.97037,21.62277
1998-10-01,-1.306342596359635,-1.4409763484820548,3.992253420572408,-100.366135,-96.27741,20.695896
