time,aghulas_box,aghulas_jet,amoc
1993.0,-95.15113,-99.21202,21.043627
1993.0849315068492,-98.24733,-75.14654,16.834034
1993.1616438356164,-116.401344,-95.25818,16.281631
1993.2465753424658,-83.37234,-90.05884,18.194887
1993.3287671232877,-72.50575,-90.67418,15.816739
1993.4136986301369,-73.421486,-100.50233,16.026243
1993.495890410959,-65.63378,-80.93331,19.957752
1993.5808219178082,-84.20428,-85.44115,20.920362
1993.6657534246576,-110.88661,-121.979675,21.675552
1993.7479452054795,-88.84582,-105.354965,21.996647
1993.8328767123287,-125.40701,-136.16325,25.676914
1993.9150684931508,-131.44928,-95.80452,21.973839
1994.0,-89.27477,-94.90004,25.497313
1994.0849315068492,-93.91493,-112.64425,23.844463
1994.1616438356164,-86.61241,-98.795555,19.381218
1994.2465753424658,-75.16645,-88.19993,21.737833
1994.3287671232877,-94.267265,-111.748245,19.179056
1994.4136986301369,-83.10849,-102.9885,18.657625
1994.495890410959,-82.56902,-103.25703,20.25539
1994.5808219178082,-74.18226,-97.449425,20.912786
1994.6657534246576,-100.587616,-106.420715,20.273987
1994.7479452054795,-116.63139,-101.34439,17.881933
1994.8328767123287,-74.89927,-84.5959,20.133799
1994.9150684931508,-97.003136,-112.40705,18.885138
1995.0,-89.26303,-110.47787,20.966705
1995.0849315068492,-105.13566,-125.517685,23.358406
1995.1616438356164,-100.80722,-112.57607,20.203892
1995.2465753424658,-84.26881,-92.24596,17.137325
1995.3287671232877,-101.76054,-108.99817,14.886017
1995.4136986301369,-74.17805,-80.09019,19.10671
1995.495890410959,-76.37519,-88.20147,21.254074
1995.5808219178082,-89.552,-95.49428,20.736979
1995.6657534246576,-71.8498,-76.228065,22.120302
1995.7479452054795,-67.19648,-78.18937,25.938114
1995.8328767123287,-86.96374,-98.10095,22.537865
1995.9150684931508,-97.891815,-109.69356,17.449701
1996.0,-79.72938,-86.65328,19.34929
1996.0846994535518,-108.47072,-107.68011,21.666857
1996.1639344262296,-112.12333,-87.00919,20.520084
1996.2486338797814,-84.79424,-95.05943,20.643435
1996.3306010928961,-74.51635,-77.56519,20.613766
1996.4153005464482,-66.558975,-85.55169,22.551714
1996.4972677595629,-60.049347,-81.624794,23.195688
1996.5819672131147,-74.39794,-84.71865,22.776722
1996.6666666666667,-71.41519,-88.518745,21.733974
1996.7486338797814,-57.30329,-76.418755,22.480078
1996.8333333333333,-103.62198,-100.91594,23.056374
1996.9153005464482,-101.45764,-84.42018,16.40652
1997.0,-140.65039,-147.3218,18.65525
1997.0849315068492,-61.993114,-82.169106,23.64677
1997.1616438356164,-72.52459,-95.57726,19.089394
1997.2465753424658,-93.93529,-107.95359,13.120856
1997.3287671232877,-100.61508,-107.272896,20.488665
1997.4136986301369,-85.83358,-106.73769,17.987738
1997.495890410959,-82.40402,-92.778595,20.907707
1997.5808219178082,-68.90319,-70.377754,24.390738
1997.6657534246576,-71.77852,-82.4696,21.268951
1997.7479452054795,-77.715485,-100.26954,19.256933
1997.8328767123287,-82.4659,-101.344734,21.359602
1997.9150684931508,-64.23615,-88.54199,17.803974
1998.0,-78.792496,-97.0679,19.984095
1998.0849315068492,-89.40855,-102.91006,13.626111
1998.1616438356164,-97.37786,-114.38055,22.131119
1998.2465753424658,-79.36313,-73.29116,21.467676
1998.3287671232877,-82.928474,-105.077805,16.643778
1998.4136986301369,-93.133766,-121.48089,20.296526
1998.495890410959,-82.24096,-97.24601,24.143167
1998.5808219178082,-76.00239,-80.54981,25.444633
1998.6657534246576,-72.51737,-92.97037,21.62277
1998.7479452054795,-100.366135,-96.27741,20.695896
1998.8328767123287,-80.54729,-89.00986,21.218927
1998.9150684931508,-104.39249,-99.19001,21.17973
1999.0,-89.83628,-92.44838,20.36376
1999.0849315068492,-82.84319,-98.66538,16.361025
1999.1616438356164,-126.54358,-123.29047,15.052157
1999.2465753424658,-26.312838,-69.99364,14.154356
1999.3287671232877,-71.569214,-106.01604,10.98888
1999.4136986301369,-69.22185,-87.568344,16.838034
1999.495890410959,-70.00449,-80.008896,16.546461
1999.5808219178082,-64.01902,-75.545235,16.743374
1999.6657534246576,-68.891396,-80.200096,17.160734
1999.7479452054795,-102.423805,-114.98534,17.039879
1999.8328767123287,-73.33354,-90.62722,18.592361
1999.9150684931508,-81.71732,-96.99946,14.631912
2000.0,-90.569336,-96.45127,15.937167
2000.0846994535518,-89.78362,-82.31337,18.634535
2000.1639344262296,-81.85901,-94.64025,12.783864
2000.2486338797814,-89.739655,-111.80207,14.946272
2000.3306010928961,-79.587364,-87.75295,13.584765
2000.4153005464482,-70.05935,-86.47417,16.21849
2000.4972677595629,-62.132244,-81.195015,15.728448
2000.5819672131147,-75.037346,-92.4318,17.181618
2000.6666666666667,-96.54438,-117.74803,15.671263
2000.7486338797814,-104.19411,-117.44006,16.49572
2000.8333333333333,-36.585155,-76.33853,18.093948
2000.9153005464482,-103.00406,-120.4085,16.956648
2001.0,-121.862854,-91.41602,13.103471
2001.0849315068492,-106.71906,-113.469505,20.389896
2001.1616438356164,-130.68132,-116.84224,12.600827
2001.2465753424658,-85.739914,-75.63084,17.458927
2001.3287671232877,-83.517685,-80.90634,14.502636
2001.4136986301369,-105.48291,-111.76652,15.697364
2001.495890410959,-81.88919,-92.681496,20.69067
2001.5808219178082,-60.09934,-78.67901,18.359241
2001.6657534246576,-55.08946,-67.61219,16.842901
2001.7479452054795,-73.35981,-86.63355,18.125048
2001.8328767123287,-93.41534,-79.734535,16.674488
2001.9150684931508,-97.21252,-92.4947,12.862867
2002.0,-90.77929,-100.08999,17.865377
2002.0849315068492,-116.368805,-106.6054,17.406366
2002.1616438356164,-82.22951,-93.75727,18.69699
2002.2465753424658,-86.48903,-102.11385,17.508799
2002.3287671232877,-70.966774,-88.0712,17.884827
2002.4136986301369,-68.50444,-91.29519,16.698364
2002.495890410959,-57.310085,-81.83884,19.569103
