month,mean,std,count,se
1,17.38517285483871,3.5830795347505635,31,0.6435400820248312
2,17.60129885483871,2.9962420887368757,31,0.5381409652929214
3,15.813640387096774,3.8142857393446357,31,0.6850659422314137
4,15.194621016129032,2.9192052790877465,31,0.5243047458287105
5,15.595342548387098,2.6249453566165744,31,0.4714541035789002
6,16.30877258064516,2.5341464896472576,31,0.4551461456531871
7,18.647256548387094,2.422939148089331,31,0.435172717485081
8,18.45993629032258,2.5041041869681493,31,0.4497503888069261
9,17.652950258064514,2.7387074975975305,31,0.4918863872689974
10,17.863758016129033,2.7165982263959854,31,0.48791544493725203
11,18.722222758064515,2.689556605920904,31,0.48305862652453163
12,16.942997312903227,3.1863184226860866,31,0.5722796826600116
