time,aghulas_box,aghulas_jet
2006-08-01,-96.31735,-104.86474
2006-09-01,-83.00129,-104.356606
2006-10-01,-87.98393,-86.67739
2006-11-01,-112.090546,-110.85931
2006-12-01,-79.254486,-103.69053
2007-01-01,-77.74058,-99.96772
2007-02-01,-99.03354,-104.743195
2007-03-01,-91.99395,-105.64774
2007-04-01,-88.55881,-86.5327
2007-05-01,-86.24524,-83.52677
2007-06-01,-92.85853,-92.81425
2007-07-01,-93.45636,-95.78079
2007-08-01,-88.832794,-84.037094
2007-09-01,-102.394554,-80.935135
2007-10-01,-91.786835,-80.52504
2007-11-01,-90.04338,-77.03861
2007-12-01,-102.51908,-82.27161
2008-01-01,-115.47248,-91.87645
2008-02-01,-63.99666,-81.34998
2008-03-01,-92.14434,-99.166115
2008-04-01,-103.63292,-105.43098
2008-05-01,-71.51276,-85.681885
2008-06-01,-62.95582,-80.93636
2008-07-01,-50.48594,-44.325283
2008-08-01,-83.49244,-118.2646
2008-09-01,-101.89909,-77.148186
2008-10-01,-88.4889,-87.233765
2008-11-01,-92.75375,-96.0901
2008-12-01,-106.83747,-120.174225
2009-01-01,-103.84209,-121.97758
2009-02-01,-95.342964,-97.62799
2009-03-01,-135.25984,-148.20348
2009-04-01,-92.229095,-87.821014
2009-05-01,-103.70771,-86.996864
2009-06-01,-63.153587,-81.78091
2009-07-01,-65.81124,-85.35648
2009-08-01,-60.082092,-81.029686
2009-09-01,-68.88315,-86.73071
2009-10-01,-79.74956,-96.666046
2009-11-01,-72.37945,-100.344986
2009-12-01,-132.34628,-108.86364
2010-01-01,-88.75212,-99.65946
2010-02-01,-83.18906,-92.0295
2010-03-01,-86.23659,-89.330315
2010-04-01,-112.99363,-131.81805
2010-05-01,-92.20323,-93.99285
2010-06-01,-81.421265,-116.25553
2010-07-01,-89.15393,-111.89446
2010-08-01,-79.13198,-95.59563
2010-09-01,-101.10602,-121.22596
2010-10-01,-85.965904,-83.733795
2010-11-01,-66.717964,-86.69163
2010-12-01,-54.978165,-80.89209
2011-01-01,-85.68511,-112.0688
2011-02-01,-92.65743,-91.88145
2011-03-01,-108.58337,-117.340515
2011-04-01,-86.40547,-97.55193
2011-05-01,-82.74074,-98.32256
2011-06-01,-79.596466,-87.79281
2011-07-01,-64.531746,-72.33537
2011-08-01,-50.698143,-71.13923
2011-09-01,-14.799936,-66.09623
2011-10-01,-47.467525,-76.20832
2011-11-01,-96.56233,-114.676056
2011-12-01,-93.55363,-81.03963
